iss,triplet_1,triplet_2,count_1,count_2
1,"(1, 0, 0)",,,
2,"(1, 1, 0)",,,
3,"(1, 1, 1)",,,
4,"(2, 0, 0)",,,
5,"(2, 1, 0)",,,
6,"(2, 1, 1)",,,
8,"(2, 2, 0)",,,
9,"(2, 2, 1)","(3, 0, 0)",8135,93132
10,"(3, 1, 0)",,,
11,"(3, 1, 1)",,,
12,"(2, 2, 2)",,,
13,"(3, 2, 0)",,,
14,"(3, 2, 1)",,,
16,"(4, 0, 0)",,,
17,"(3, 2, 2)","(4, 1, 0)",6613,4977
18,"(3, 3, 0)","(4, 1, 1)",3853,697
19,"(3, 1, 1)",,,
20,"(4, 2, 0)",,,
21,"(4, 2, 1)",,,
22,"(3, 3, 2)",,,
24,"(4, 2, 2)",,,
25,"(4, 3, 0)","(5, 0, 0)",2031,4720
26,"(4, 3, 1)","(5, 1, 0)",1544,1487
27,"(3, 3, 3)","(5, 1, 1)",1744,198
29,"(4, 3, 2)*","(5, 2, 0)",3463,1125
30,"(5, 2, 1)",,,
32,"(4, 4, 0)",,,
33,"(4, 4, 1)","(5, 2, 2)*",140,595
34,"(4, 3, 3)","(5, 3, 0)",1795,906
35,"(5, 3, 1)",,,
36,"(4, 4, 2)",,,
38,"(5, 3, 2)",,,
41,"(4, 4, 3)*","(5, 4, 0)",640,240
42,"(5, 4, 1)",,,
43,"(5, 3, 3)",,,
45,"(5, 4, 2)",,,
48,"(4, 4, 4)",,,
50,"(5, 4, 3)","(5, 5, 0)",556,77
51,"(5, 5, 1)",,,
54,"(5, 5, 2)",,,
57,"(5, 4, 4)",,,
59,"(5, 5, 3)",,,
66,"(5, 5, 4)",,,
75,"(5, 5, 5)","(6, 0, 0)",7,1460
